sepal_length,sepal_width,petal_length,petal_width,petal_ratio,sepal_ratio,petal_area,sepal_area,label,event_id
6.423,2.964,4.641,1.226,3.7854812398042417,2.167004048582996,5.689866,19.037772,versicolor,172
5.0,3.493,1.625,0.05,32.5,1.43143429716576,0.08125,17.465,setosa,63
6.896,2.928,5.588,2.203,2.536541080344984,2.3551912568306013,12.310364,20.191488,virginica,107
6.427,2.486,4.598,1.229,3.7412530512611877,2.5852775543041027,5.650942000000001,15.977522,versicolor,169
5.155,3.641,1.253,0.111,11.288288288288287,1.4158198297171107,0.13908299999999998,18.769355,setosa,147
4.771,3.215,1.512,0.428,3.532710280373832,1.48398133748056,0.647136,15.338764999999999,setosa,12
6.263,2.92,6.431,2.326,2.7648323301805675,2.14486301369863,14.958506,18.287959999999998,virginica,155
6.185,3.076,5.378,2.181,2.4658413571756075,2.0107282184655393,11.729418,19.02506,virginica,239
5.954,2.947,4.096,1.073,3.817334575955266,2.02035968781812,4.395008,17.546438,versicolor,148
6.439,2.422,4.793,1.326,3.614630467571644,2.6585466556564823,6.355518000000001,15.595258000000001,versicolor,100
6.729,2.963,5.797,2.031,2.8542589857213194,2.271009112386095,11.773707,19.938027,virginica,71
6.287,3.114,5.18,1.77,2.926553672316384,2.018946692357097,9.1686,19.577717999999997,virginica,140
6.283,2.654,3.819,1.438,2.6557719054242,2.3673700075357953,5.491721999999999,16.675082,versicolor,10
6.016,2.99,4.873,1.159,4.204486626402071,2.012040133779264,5.647807,17.987840000000002,versicolor,97
6.307,2.564,4.426,1.531,2.890920966688439,2.4598283931357257,6.776206,16.171148000000002,versicolor,106
6.186,3.142,4.802,1.455,3.3003436426116832,1.968809675366009,6.98691,19.436412,versicolor,241
6.03,2.998,4.592,1.329,3.4552294958615497,2.0113408939292863,6.102767999999999,18.07794,versicolor,238
4.996,3.411,1.249,0.416,3.0024038461538467,1.4646731163881561,0.519584,17.041356,setosa,282
4.867,3.662,1.094,0.083,13.180722891566266,1.3290551611141452,0.09080200000000001,17.822954,setosa,135
5.488,2.577,4.878,1.349,3.6160118606375096,2.129608071400854,6.580422,14.142576,versicolor,145
6.269,2.627,4.793,1.509,3.176275679257787,2.386372287780739,7.2326369999999995,16.468663,versicolor,211
